Image,Severity (%),Level
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
disease-3.jpeg,10.13,Moderate
healthy-4.jpg,0.0,Healthy
2026-09-16T19:36:45.701351+00:00,389cf889a6_img1662_jpg.rf.e6d9906710a9430c13ee3686d39cd62a.jpg,Infected,0.9717,34.54,Severe,result_389cf889a6_img1662_jpg.rf.e6d9906710a9430c13ee3686d39cd62a_b522119b53.jpg
